Instancia,Rodada,Semente,Makespan,Tempo_Segundos
100x12_U_1_100_S_49_rep_1.txt,1,1,364.0,7.271709099994041
100x12_U_1_100_S_49_rep_1.txt,2,2,369.0,6.646814500039909
100x12_U_1_100_S_49_rep_1.txt,3,3,356.0,6.777505700010806
100x12_U_1_100_S_49_rep_1.txt,4,4,379.0,7.193855000019539
100x12_U_1_100_S_49_rep_1.txt,5,5,373.0,6.882954600034282
100x12_U_1_100_S_49_rep_1.txt,6,6,378.0,6.896074399992358
100x12_U_1_100_S_49_rep_1.txt,7,7,373.0,6.890315199969336
100x12_U_1_100_S_49_rep_1.txt,8,8,367.0,6.596529200032819
100x12_U_1_100_S_49_rep_1.txt,9,9,392.0,6.670849899994209
100x12_U_1_100_S_49_rep_1.txt,10,10,370.0,6.500616099976469
100x12_U_1_100_S_49_rep_1.txt,11,11,380.0,6.748882699990645
100x12_U_1_100_S_49_rep_1.txt,12,12,357.0,6.571771799994167
100x12_U_1_100_S_49_rep_1.txt,13,13,386.0,7.583390399988275
100x12_U_1_100_S_49_rep_1.txt,14,14,367.0,6.791996499989182
100x12_U_1_100_S_49_rep_1.txt,15,15,378.0,6.981243299960624
100x12_U_1_100_S_49_rep_1.txt,16,16,394.0,6.911206099961419
100x12_U_1_100_S_49_rep_1.txt,17,17,360.0,6.678356900054496
100x12_U_1_100_S_49_rep_1.txt,18,18,350.0,7.175529700005427
100x12_U_1_100_S_49_rep_1.txt,19,19,385.0,6.440388199989684
100x12_U_1_100_S_49_rep_1.txt,20,20,372.0,7.3818745000171475
100x12_U_1_100_S_49_rep_1.txt,21,21,374.0,6.9918031000415795
100x12_U_1_100_S_49_rep_1.txt,22,22,347.0,7.4711025999858975
100x12_U_1_100_S_49_rep_1.txt,23,23,373.0,7.992866800050251
100x12_U_1_100_S_49_rep_1.txt,24,24,359.0,7.515288700000383
100x12_U_1_100_S_49_rep_1.txt,25,25,377.0,7.705898599990178
100x12_U_1_100_S_49_rep_1.txt,26,26,380.0,7.189042999991216
100x12_U_1_100_S_49_rep_1.txt,27,27,358.0,7.549726800003555
100x12_U_1_100_S_49_rep_1.txt,28,28,353.0,7.111534999974538
100x12_U_1_100_S_49_rep_1.txt,29,29,354.0,7.263508900010493
100x12_U_1_100_S_49_rep_1.txt,30,30,360.0,6.511185800016392
100x4_U_1_100_S_49_rep_1.txt,1,1,946.0,9.847912700031884
100x4_U_1_100_S_49_rep_1.txt,2,2,938.0,8.818831799959298
100x4_U_1_100_S_49_rep_1.txt,3,3,918.0,8.207883399969433
100x4_U_1_100_S_49_rep_1.txt,4,4,913.0,6.305557600047905
100x4_U_1_100_S_49_rep_1.txt,5,5,921.0,8.72891730000265
100x4_U_1_100_S_49_rep_1.txt,6,6,922.0,7.575818499957677
100x4_U_1_100_S_49_rep_1.txt,7,7,927.0,6.48340659996029
100x4_U_1_100_S_49_rep_1.txt,8,8,943.0,7.533180099970195
100x4_U_1_100_S_49_rep_1.txt,9,9,960.0,8.507056100002956
100x4_U_1_100_S_49_rep_1.txt,10,10,956.0,9.257284499995876
100x4_U_1_100_S_49_rep_1.txt,11,11,925.0,8.630673800013028
100x4_U_1_100_S_49_rep_1.txt,12,12,909.0,8.605397899984382
100x4_U_1_100_S_49_rep_1.txt,13,13,950.0,9.304119800042827
100x4_U_1_100_S_49_rep_1.txt,14,14,899.0,8.491055299993604
100x4_U_1_100_S_49_rep_1.txt,15,15,943.0,8.243841500021517
100x4_U_1_100_S_49_rep_1.txt,16,16,956.0,9.475653100002091
100x4_U_1_100_S_49_rep_1.txt,17,17,934.0,8.252389799978118
100x4_U_1_100_S_49_rep_1.txt,18,18,915.0,7.5190928999800235
100x4_U_1_100_S_49_rep_1.txt,19,19,976.0,8.735795599990524
100x4_U_1_100_S_49_rep_1.txt,20,20,902.0,8.927490800037049
100x4_U_1_100_S_49_rep_1.txt,21,21,971.0,9.067864800046664
100x4_U_1_100_S_49_rep_1.txt,22,22,901.0,7.775355699995998
100x4_U_1_100_S_49_rep_1.txt,23,23,940.0,9.254601399996318
100x4_U_1_100_S_49_rep_1.txt,24,24,894.0,8.781380600004923
100x4_U_1_100_S_49_rep_1.txt,25,25,947.0,9.463851600012276
100x4_U_1_100_S_49_rep_1.txt,26,26,930.0,9.108404200000223
100x4_U_1_100_S_49_rep_1.txt,27,27,966.0,9.087309000024106
100x4_U_1_100_S_49_rep_1.txt,28,28,945.0,10.19817879999755
100x4_U_1_100_S_49_rep_1.txt,29,29,924.0,8.554465000052005
100x4_U_1_100_S_49_rep_1.txt,30,30,944.0,9.094713300000876
100x8_U_1_100_S_49_rep_1.txt,1,1,534.0,8.86503129999619
100x8_U_1_100_S_49_rep_1.txt,2,2,519.0,7.862845099996775
100x8_U_1_100_S_49_rep_1.txt,3,3,508.0,8.371147600002587
100x8_U_1_100_S_49_rep_1.txt,4,4,472.0,7.93507090001367
100x8_U_1_100_S_49_rep_1.txt,5,5,499.0,8.05384230002528
100x8_U_1_100_S_49_rep_1.txt,6,6,502.0,7.85354419995565
100x8_U_1_100_S_49_rep_1.txt,7,7,474.0,9.48388040001737
100x8_U_1_100_S_49_rep_1.txt,8,8,530.0,9.050882400013506
100x8_U_1_100_S_49_rep_1.txt,9,9,488.0,8.438173500006087
100x8_U_1_100_S_49_rep_1.txt,10,10,521.0,7.9437720000278205
100x8_U_1_100_S_49_rep_1.txt,11,11,521.0,8.611939100024756
100x8_U_1_100_S_49_rep_1.txt,12,12,477.0,8.340096200001426
100x8_U_1_100_S_49_rep_1.txt,13,13,518.0,8.091719699965324
100x8_U_1_100_S_49_rep_1.txt,14,14,487.0,7.906828699982725
100x8_U_1_100_S_49_rep_1.txt,15,15,497.0,8.712396899994928
100x8_U_1_100_S_49_rep_1.txt,16,16,524.0,8.150718799966853
100x8_U_1_100_S_49_rep_1.txt,17,17,517.0,8.30805789999431
100x8_U_1_100_S_49_rep_1.txt,18,18,497.0,9.147515599965118
100x8_U_1_100_S_49_rep_1.txt,19,19,523.0,8.965774699987378
100x8_U_1_100_S_49_rep_1.txt,20,20,526.0,9.523681699996814
100x8_U_1_100_S_49_rep_1.txt,21,21,493.0,8.168548100045882
100x8_U_1_100_S_49_rep_1.txt,22,22,499.0,8.996583500003908
100x8_U_1_100_S_49_rep_1.txt,23,23,490.0,8.820866200025193
100x8_U_1_100_S_49_rep_1.txt,24,24,494.0,8.372651700046845
100x8_U_1_100_S_49_rep_1.txt,25,25,529.0,9.06010789994616
100x8_U_1_100_S_49_rep_1.txt,26,26,505.0,8.859242999984417
100x8_U_1_100_S_49_rep_1.txt,27,27,514.0,9.005137000000104
100x8_U_1_100_S_49_rep_1.txt,28,28,509.0,8.05977150000399
100x8_U_1_100_S_49_rep_1.txt,29,29,486.0,8.804671599995345
100x8_U_1_100_S_49_rep_1.txt,30,30,509.0,8.619310200039763
150x12_U_1_100_S_49_rep_1.txt,1,1,550.0,22.59517710004002
150x12_U_1_100_S_49_rep_1.txt,2,2,538.0,21.373013000003994
150x12_U_1_100_S_49_rep_1.txt,3,3,585.0,21.14260830002604
150x12_U_1_100_S_49_rep_1.txt,4,4,541.0,22.064407099969685
150x12_U_1_100_S_49_rep_1.txt,5,5,557.0,20.654841999989003
150x12_U_1_100_S_49_rep_1.txt,6,6,532.0,21.514846300007775
150x12_U_1_100_S_49_rep_1.txt,7,7,549.0,21.6527973000193
150x12_U_1_100_S_49_rep_1.txt,8,8,525.0,22.155987400037702
150x12_U_1_100_S_49_rep_1.txt,9,9,545.0,22.066502499976195
150x12_U_1_100_S_49_rep_1.txt,10,10,534.0,21.04490340000484
150x12_U_1_100_S_49_rep_1.txt,11,11,526.0,20.706886400002986
150x12_U_1_100_S_49_rep_1.txt,12,12,540.0,20.95912259997567
