Instancia,Rodada,Semente,Makespan,Tempo_Segundos
100x12_U_1_100_S_49_rep_1.txt,1,1,164.0,17.196239799959585
100x12_U_1_100_S_49_rep_1.txt,2,2,165.0,14.891125099966303
100x12_U_1_100_S_49_rep_1.txt,3,3,162.0,14.936545600066893
100x12_U_1_100_S_49_rep_1.txt,4,4,168.0,14.86223010008689
100x12_U_1_100_S_49_rep_1.txt,5,5,168.0,14.837723799981177
100x12_U_1_100_S_49_rep_1.txt,6,6,174.0,14.906856799963862
100x12_U_1_100_S_49_rep_1.txt,7,7,166.0,15.059200400020927
100x12_U_1_100_S_49_rep_1.txt,8,8,167.0,14.930922199971974
100x12_U_1_100_S_49_rep_1.txt,9,9,162.0,14.954560999991372
100x12_U_1_100_S_49_rep_1.txt,10,10,164.0,14.959896499989554
100x12_U_1_100_S_49_rep_1.txt,11,11,166.0,14.928274500067346
100x12_U_1_100_S_49_rep_1.txt,12,12,169.0,14.88400309998542
100x12_U_1_100_S_49_rep_1.txt,13,13,167.0,14.960511600016616
100x12_U_1_100_S_49_rep_1.txt,14,14,164.0,14.921986900037155
100x12_U_1_100_S_49_rep_1.txt,15,15,171.0,14.953499200055376
100x12_U_1_100_S_49_rep_1.txt,16,16,164.0,14.922705799923278
100x12_U_1_100_S_49_rep_1.txt,17,17,165.0,15.2171635000268
100x12_U_1_100_S_49_rep_1.txt,18,18,160.0,15.40741910005454
100x12_U_1_100_S_49_rep_1.txt,19,19,166.0,15.34850809990894
100x12_U_1_100_S_49_rep_1.txt,20,20,172.0,16.03985149995424
100x12_U_1_100_S_49_rep_1.txt,21,21,167.0,14.775078699924052
100x12_U_1_100_S_49_rep_1.txt,22,22,170.0,14.853985099936835
100x12_U_1_100_S_49_rep_1.txt,23,23,170.0,14.836545300087892
100x12_U_1_100_S_49_rep_1.txt,24,24,171.0,14.728588800062425
100x12_U_1_100_S_49_rep_1.txt,25,25,161.0,14.896322799962945
100x12_U_1_100_S_49_rep_1.txt,26,26,170.0,14.838006199919619
100x12_U_1_100_S_49_rep_1.txt,27,27,162.0,14.814122800016776
100x12_U_1_100_S_49_rep_1.txt,28,28,163.0,15.106589999981225
100x12_U_1_100_S_49_rep_1.txt,29,29,163.0,14.781321399961598
100x12_U_1_100_S_49_rep_1.txt,30,30,163.0,14.75128039997071
100x4_U_1_100_S_49_rep_1.txt,1,1,747.0,18.3993930000579
100x4_U_1_100_S_49_rep_1.txt,2,2,752.0,18.338740700040944
100x4_U_1_100_S_49_rep_1.txt,3,3,738.0,18.355118199950084
100x4_U_1_100_S_49_rep_1.txt,4,4,759.0,18.31492600007914
100x4_U_1_100_S_49_rep_1.txt,5,5,744.0,18.534704699995928
100x4_U_1_100_S_49_rep_1.txt,6,6,751.0,18.280565800028853
100x4_U_1_100_S_49_rep_1.txt,7,7,744.0,18.474623500020243
100x4_U_1_100_S_49_rep_1.txt,8,8,770.0,18.521799199981615
100x4_U_1_100_S_49_rep_1.txt,9,9,743.0,18.450408900040202
100x4_U_1_100_S_49_rep_1.txt,10,10,752.0,18.756729299901053
100x4_U_1_100_S_49_rep_1.txt,11,11,750.0,18.943466100026853
100x4_U_1_100_S_49_rep_1.txt,12,12,747.0,19.90834610001184
100x4_U_1_100_S_49_rep_1.txt,13,13,782.0,20.31610549998004
100x4_U_1_100_S_49_rep_1.txt,14,14,754.0,19.449988499982283
100x4_U_1_100_S_49_rep_1.txt,15,15,755.0,19.134176600025967
100x4_U_1_100_S_49_rep_1.txt,16,16,761.0,19.2975239000516
100x4_U_1_100_S_49_rep_1.txt,17,17,738.0,19.995163300074637
100x4_U_1_100_S_49_rep_1.txt,18,18,744.0,19.178775800042786
100x4_U_1_100_S_49_rep_1.txt,19,19,741.0,20.866736500058323
100x4_U_1_100_S_49_rep_1.txt,20,20,769.0,19.338143699918874
100x4_U_1_100_S_49_rep_1.txt,21,21,747.0,18.635614000028
100x4_U_1_100_S_49_rep_1.txt,22,22,742.0,18.9808733999962
100x4_U_1_100_S_49_rep_1.txt,23,23,756.0,18.631876199971884
100x4_U_1_100_S_49_rep_1.txt,24,24,745.0,18.43422689998988
100x4_U_1_100_S_49_rep_1.txt,25,25,752.0,18.442373399971984
100x4_U_1_100_S_49_rep_1.txt,26,26,750.0,18.36820569995325
100x4_U_1_100_S_49_rep_1.txt,27,27,755.0,18.43761080002878
100x4_U_1_100_S_49_rep_1.txt,28,28,746.0,18.347100699902512
100x4_U_1_100_S_49_rep_1.txt,29,29,776.0,18.3316547999857
100x4_U_1_100_S_49_rep_1.txt,30,30,777.0,18.271851300029084
100x8_U_1_100_S_49_rep_1.txt,1,1,291.0,15.473134100087918
100x8_U_1_100_S_49_rep_1.txt,2,2,305.0,15.525122900027782
100x8_U_1_100_S_49_rep_1.txt,3,3,297.0,15.45464929996524
100x8_U_1_100_S_49_rep_1.txt,4,4,299.0,15.46984659996815
100x8_U_1_100_S_49_rep_1.txt,5,5,298.0,15.446468400070444
100x8_U_1_100_S_49_rep_1.txt,6,6,310.0,15.463241700083017
100x8_U_1_100_S_49_rep_1.txt,7,7,294.0,15.323716499959119
100x8_U_1_100_S_49_rep_1.txt,8,8,310.0,15.284270499949344
100x8_U_1_100_S_49_rep_1.txt,9,9,318.0,15.49303430004511
100x8_U_1_100_S_49_rep_1.txt,10,10,307.0,15.539209999958985
100x8_U_1_100_S_49_rep_1.txt,11,11,296.0,15.89565980003681
100x8_U_1_100_S_49_rep_1.txt,12,12,308.0,15.787587199942209
100x8_U_1_100_S_49_rep_1.txt,13,13,299.0,16.616989000001922
100x8_U_1_100_S_49_rep_1.txt,14,14,295.0,16.7516565999249
100x8_U_1_100_S_49_rep_1.txt,15,15,300.0,15.315758200013079
100x8_U_1_100_S_49_rep_1.txt,16,16,305.0,15.423874699976295
100x8_U_1_100_S_49_rep_1.txt,17,17,306.0,15.36072619992774
100x8_U_1_100_S_49_rep_1.txt,18,18,295.0,15.496762199909426
100x8_U_1_100_S_49_rep_1.txt,19,19,300.0,15.582008400000632
100x8_U_1_100_S_49_rep_1.txt,20,20,292.0,15.568906800006516
100x8_U_1_100_S_49_rep_1.txt,21,21,305.0,15.419210699968971
100x8_U_1_100_S_49_rep_1.txt,22,22,290.0,15.74613500002306
